#{"t_start": 1738676945.520818, "env_id": "ComponentPlacementEnvironment-v2"}
r,l,t
-6024.909397,999,2.989946
-4453.849566,999,3.791987
-6204.306123,999,5.645831
-4997.910852,999,6.449609
-4915.655718,999,8.243202
-6196.471479,999,9.045722
-6464.126804,999,10.909169
-3716.535417,999,11.720456
-5219.444731,999,13.53871
-6374.458779,999,14.339661
-6299.691507,999,16.066427
-5753.897514,999,16.871928
-3113.431617,999,18.610966
-5346.349885,999,19.414394
-5708.070802,999,21.169091
-6073.551167,999,21.976307
-4608.616873,999,23.863148
-5959.76523,999,24.668559
-2693.615064,999,26.596798
-4846.641125,999,27.398705
-4483.979276,999,29.295458
-3617.322517,999,30.127265
-4602.045094,999,31.911897
-5225.515364,999,32.722427
-6102.097187,999,34.662825
-3958.705144,999,37.741482
-3586.081271,999,39.714781
-3308.103117,999,40.523725
-4424.68551,999,42.558997
-4596.42139,999,43.376378
-5189.854129,999,45.204387
-2559.157204,999,46.015431
-5016.235555,999,47.841246
-4563.890695,999,48.669657
-4139.170188,999,50.625544
-2699.123912,999,51.44591
-4223.022662,999,53.346071
-2360.393237,999,54.191666
-5376.982378,999,56.188994
-4034.094094,999,57.016824
-4479.792496,999,57.851773
-4923.733026,999,59.700052
-3969.341913,999,60.559814
-4154.737006,999,62.392456
-3665.242901,999,63.268368
-3627.484076,999,65.078294
-3871.901535,999,65.894456
-3820.134499,999,67.734654
-4471.063155,999,68.558894
-4581.066345,999,70.506216
-3856.206947,999,73.6013
-3154.299241,999,75.583115
-3859.228862,999,76.39771
-3890.397918,999,78.404411
-4560.653758,999,79.240606
-4723.293359,999,81.053467
-3652.608626,999,81.871418
-3401.420784,999,83.867025
-3692.511325,999,84.746801
-3476.801081,999,86.603755
-3885.386958,999,87.485626
-5068.129916,999,89.338221
-4059.392812,999,90.2105
-2891.595569,999,92.052999
-4516.138368,999,92.930401
-2366.114102,999,94.873741
-3529.282905,999,95.702177
-3868.107707,999,97.657246
-4100.595183,999,98.475067
-4077.489667,999,100.358407
-5584.96038,999,101.189041
-3661.287333,999,103.018747
