#{"t_start": 1738678853.2731469, "env_id": "ComponentPlacementEnvironment-v2"}
r,l,t
-46770.934543,999,3.321563
-58554.481012,999,4.137272
-52956.327719,999,5.799251
-41805.995459,999,6.60864
-44481.107237,999,8.391643
-59064.087677,999,9.197391
-43272.097055,999,11.117448
-67343.581946,999,11.929023
-51972.011175,999,13.872854
-49565.648568,999,14.687654
-54179.994582,999,16.643288
-68144.750667,999,17.456309
-86430.697529,999,19.228999
-56869.547487,999,20.038833
-56775.620591,999,21.709324
-49182.582974,999,22.521384
-55372.846488,999,24.298298
-78217.438563,999,25.111023
-57664.967547,999,26.879741
-50981.078979,999,27.693405
-51764.992677,999,29.477864
-57166.288572,999,30.291679
-47690.450578,999,32.461347
-51780.381317,999,33.274136
-42371.42521,999,35.040113
-34177.784959,999,38.132465
-48180.675785,999,39.931027
-56285.211826,999,40.738858
-51287.952195,999,42.53174
-47882.376258,999,43.334048
-45982.716517,999,45.053536
-46881.777826,999,45.862476
-42994.611721,999,47.562326
-48277.802222,999,48.364431
-54463.705901,999,50.070982
-45383.920653,999,50.871171
-55863.218504,999,52.58399
-40207.546072,999,53.395487
-49796.346995,999,55.139771
-45488.401402,999,55.941188
-25318.587027,999,56.740428
-42076.769335,999,58.616287
-46569.279533,999,59.414949
-27010.125453,999,61.324183
-59676.918188,999,62.123353
-64974.690587,999,64.027446
-44605.441049,999,64.837198
-33004.946068,999,66.737672
-37193.669373,999,67.540464
-36991.404578,999,69.454502
-38713.311173,999,72.518355
-59270.962183,999,74.423571
-29503.196802,999,75.224084
-43798.181227,999,77.098756
-45889.411213,999,77.900857
-34086.48546,999,79.629125
-33997.836352,999,80.429484
-55264.101154,999,82.194733
-51885.902577,999,83.001962
-43001.03142,999,84.838323
-43695.100137,999,85.648459
-29196.504723,999,87.384949
-37088.411046,999,88.187209
-36283.912216,999,90.058735
-35789.530198,999,90.858924
-28902.408176,999,92.754091
-38789.476126,999,93.555367
-29090.108356,999,95.434801
-35401.220204,999,96.234886
-49303.164933,999,98.179763
-27103.158145,999,98.9753
-37814.034803,999,100.895734
-48289.373139,999,101.69556
-44483.945149,999,103.626013
-39017.509967,999,104.427003
-35308.346814,999,108.643722
-39675.806329,999,109.442694
-43186.218699,999,111.353485
-42892.749052,999,112.153436
-43511.26161,999,114.067254
-29198.188299,999,114.883543
-43390.784423,999,115.683801
-34305.878813,999,117.410977
-29908.932439,999,118.229208
-54479.349094,999,119.940902
-32203.916301,999,120.740018
-38207.229808,999,122.461963
-33609.877188,999,123.260742
-48985.908154,999,124.97194
-26909.15576,999,125.772019
-31002.536607,999,127.484488
-45207.156759,999,128.286135
-40100.802932,999,129.987757
-28907.475194,999,130.788201
-21615.152056,999,132.505322
-19712.332968,999,133.306089
-36301.881624,999,135.09499
-22421.351002,999,135.896289
-25617.519219,999,137.791349
-33918.385506,999,138.595056
-40021.342109,999,142.753297
-36504.599524,999,143.556961
-14325.806061,999,145.466163
-26728.459595,999,146.277293
-31504.075268,999,148.044712
-41316.722658,999,148.84512
-27120.764929,999,150.631596
-27708.180886,999,151.432224
-36410.011282,999,153.337353
-33807.105892,999,154.140314
-27209.47146,999,156.050594
-42403.922615,999,156.853642
-39711.816185,999,158.766546
-23711.689872,999,159.568595
-30318.850459,999,161.480293
-48403.506064,999,162.28125
-49816.446515,999,164.204785
-37318.802712,999,165.015088
-35712.411243,999,167.039287
