#{"t_start": 1738674476.2816553, "env_id": "ComponentPlacementEnvironment-v2"}
r,l,t
-241.839462,999,2.996726
-171.787037,999,3.806473
-377.329197,999,5.69446
-271.226721,999,6.501138
-405.653394,999,8.575909
-400.290404,999,9.391715
-330.038442,999,11.383938
-220.030558,999,12.237687
-174.891215,999,14.136592
-441.132178,999,14.964014
-440.377516,999,17.088274
-422.564603,999,17.913891
-493.708119,999,19.889705
-340.301344,999,20.710788
-346.984951,999,22.712087
-546.491401,999,23.533056
-302.388457,999,25.44905
-257.776086,999,26.260476
-165.011888,999,28.214788
-279.41538,999,29.066975
-224.83207,999,31.045681
-180.48076,999,31.877073
-373.510196,999,33.667374
-374.376064,999,34.481295
-220.773278,999,36.259483
-164.801136,999,39.484125
-281.263366,999,41.366879
-362.358686,999,42.23363
-328.245236,999,44.168512
-129.725217,999,44.984711
-256.417187,999,46.723436
-351.558145,999,47.542811
-269.626347,999,49.570606
-280.359088,999,50.434063
-102.872219,999,52.224131
-173.925884,999,53.039822
-341.829494,999,54.794965
-159.969218,999,55.625538
-283.223093,999,57.408629
-570.447821,999,58.257182
-276.908618,999,59.077389
-276.292531,999,61.040031
-299.667783,999,61.877281
-434.164017,999,63.902884
-350.311174,999,64.722438
-280.581277,999,66.655957
-230.012682,999,67.468243
-253.922225,999,69.346252
-265.761936,999,70.158252
-102.972777,999,72.613484
-67.141038,999,75.833024
-120.973696,999,77.704293
-214.175746,999,78.516627
-227.884903,999,80.373578
-147.382177,999,81.199988
-256.103921,999,83.152986
-272.549284,999,83.994642
-121.088764,999,85.735133
-325.729538,999,86.549364
-203.026245,999,88.309888
-162.177394,999,89.132264
-159.005517,999,90.88868
-259.680944,999,91.704719
-241.167662,999,93.453917
-268.839531,999,94.292446
-231.545822,999,96.114412
-138.645039,999,96.936151
-307.37589,999,98.852962
-117.871514,999,99.668471
-466.300073,999,101.611061
-250.983359,999,102.428046
-202.595362,999,104.346194
-363.54734,999,105.183826
-315.155506,999,107.099996
-206.597735,999,107.919615
-223.642487,999,112.102886
-176.189755,999,112.937337
-371.816924,999,114.70034
-186.533872,999,115.517754
-285.680132,999,117.50164
-191.424363,999,118.327057
-177.985735,999,119.182092
-128.411199,999,121.045648
-146.742875,999,121.859169
-46.677191,999,123.704697
-24.659254,999,124.538219
-183.460007,999,126.412935
-136.780722,999,127.226747
-338.226487,999,129.065475
-164.736313,999,129.947042
-211.181177,999,131.690702
-58.086806,999,132.505408
-250.746304,999,134.246963
-185.226025,999,135.12835
-90.517311,999,137.318084
-257.526516,999,138.18109
-154.36077,999,140.061027
-75.964145,999,140.904868
-253.928457,999,142.689226
-202.817903,999,143.508949
-180.722281,999,147.682443
-153.831451,999,148.510854
-93.780072,999,150.358957
-163.632298,999,151.178634
-286.665787,999,153.033814
-265.569241,999,153.857424
-83.18378,999,155.574693
-268.146317,999,156.398342
-230.12357,999,158.111531
-135.503184,999,158.930429
-60.014969,999,160.720745
-152.633509,999,161.535766
7.979758,999,163.190599
-320.634589,999,164.026109
-119.773907,999,165.966472
-130.916169,999,166.782254
-107.962053,999,168.532907
-107.496455,999,169.346682
-101.436059,999,171.112792
-299.166828,999,171.935631
-18.690575,999,173.899175
-227.890014,999,174.723594
-155.765583,999,175.560682
-114.615195,999,177.370855
48.709571,999,178.19058
-7.769102,999,182.269909
-337.04454,999,183.094898
-197.328572,999,184.870882
-90.02899,999,185.699154
-26.245698,999,187.424809
-269.451153,999,188.250033
-239.726029,999,190.009373
-38.69397,999,190.820496
-320.971274,999,192.75915
-88.038399,999,193.577086
-122.289232,999,195.499618
-151.884314,999,196.314446
-179.903354,999,198.205031
-21.388199,999,199.015293
-117.332327,999,200.958864
-103.33718,999,201.774724
-210.59017,999,203.709644
-269.883757,999,204.520607
-308.725651,999,206.443676
-165.051591,999,207.25391
-15.093435,999,209.016911
-187.579315,999,209.891332
-140.939216,999,211.774844
-170.717885,999,212.59167
-77.468807,999,214.533619
-117.007284,999,217.611143
-84.047613,999,219.545228
-314.11347,999,220.35638
-16.443828,999,222.288413
-42.457104,999,223.103438
-425.522656,999,225.073439
-261.3098,999,225.895651
-272.044385,999,227.72651
-91.60356,999,228.538789
-335.604963,999,230.370204
-12.923566,999,231.185929
-39.098321,999,232.925854
-31.520333,999,233.73986
-35.961007,999,234.552193
-112.225704,999,236.309981
-63.728226,999,237.126112
-156.93338,999,238.869109
-103.389328,999,239.679235
-138.75984,999,241.429623
-193.775741,999,242.253591
54.342004,999,243.992029
28.555557,999,244.815895
-57.216932,999,246.683302
-151.839612,999,247.49882
-171.706473,999,249.193753
-167.11392,999,252.283419
-188.944395,999,254.016661
-179.079662,999,254.829893
-20.424223,999,256.556669
-189.048646,999,257.372326
-107.970106,999,259.10177
-68.922915,999,259.910904
-160.41204,999,261.803445
-55.443226,999,262.614859
-197.494563,999,264.522487
-81.739496,999,265.333529
-61.960784,999,267.239202
-162.468354,999,268.050921
14.244556,999,269.786186
-81.610718,999,270.588397
-20.759104,999,272.577382
-193.503399,999,273.478946
-33.52254,999,275.489924
-57.047125,999,276.388268
-74.003333,999,278.194999
-71.528693,999,279.076458
-146.77727,999,281.023182
-69.640661,999,281.882675
-104.63556,999,283.753291
69.918636,999,284.64013
-24.97588,999,288.809254
-44.419893,999,289.617357
29.306775,999,291.290369
-133.584501,999,292.105142
17.804256,999,292.914823
-32.24508,999,294.688636
-113.292995,999,295.543757
40.37508,999,297.271109
27.886815,999,298.083326
-111.856953,999,299.79474
40.841793,999,300.606387
3.64077,999,302.771222
-114.855543,999,303.650695
64.469144,999,305.410171
-86.583104,999,306.239947
-19.708058,999,308.176901
60.502111,999,308.993722
-150.19189,999,310.933398
-79.476968,999,311.738734
20.334383,999,313.520072
-65.717972,999,314.332001
-46.259258,999,316.130224
-86.088374,999,316.938688
-9.296793,999,318.824161
-24.333831,999,319.62808
38.863182,999,323.639751
-29.933444,999,324.458293
-55.399464,999,326.363769
5.851265,999,327.184694
-28.725326,999,329.000252
-68.355755,999,329.809349
-43.308396,999,331.703337
-73.102172,999,332.552543
-114.684326,999,334.289072
31.361853,999,335.10774
3.017426,999,336.818165
70.899293,999,337.66709
31.64239,999,339.423968
-0.632194,999,340.262212
-22.903748,999,342.072968
-37.927248,999,342.883133
-90.267098,999,344.703776
59.619464,999,345.522554
2.802604,999,347.399427
103.065098,999,348.219914
-17.572002,999,349.028909
52.035282,999,350.902213
86.857501,999,351.710494
-78.908399,999,353.631958
108.256541,999,354.446109
-1.50519,999,358.635556
87.434761,999,359.468048
90.452279,999,361.209451
19.837543,999,362.026258
30.161194,999,363.920265
84.75672,999,364.745084
98.172315,999,366.605785
8.896804,999,367.4222
109.560885,999,369.270677
105.30656,999,370.091754
30.451002,999,372.019103
50.375916,999,372.832372
77.866773,999,374.608823
19.036701,999,375.422877
72.355176,999,377.243515
93.240653,999,378.050394
89.259627,999,379.959824
86.143912,999,380.78747
-58.13128,999,382.819643
23.042959,999,383.641968
50.237173,999,385.525135
123.447319,999,386.345194
135.457719,999,388.263827
0.913415,999,389.072999
-22.39273,999,390.990474
102.165925,999,394.051531
75.418082,999,395.935833
64.239679,999,396.744138
108.154605,999,398.662138
-111.643656,999,399.49139
100.993108,999,401.653985
140.305225,999,402.522206
125.715854,999,404.243632
-57.358733,999,405.054418
111.24454,999,406.782626
88.977193,999,407.588753
89.682968,999,408.396999
124.200973,999,410.101315
26.739354,999,410.968159
103.418582,999,412.763562
96.526556,999,413.589372
58.287164,999,415.391903
69.430923,999,416.2135
87.96802,999,417.895817
99.550091,999,418.722193
136.080427,999,420.596169
86.317912,999,421.418216
97.746844,999,423.265391
58.780679,999,424.11853
98.866987,999,425.961951
91.10449,999,429.071648
81.826769,999,430.868126
55.390221,999,431.680374
-16.023595,999,433.511213
56.849021,999,434.319528
96.409194,999,436.257341
71.458946,999,437.066617
109.243351,999,439.0191
99.819819,999,439.855069
99.890026,999,441.727237
124.403175,999,442.555329
44.822975,999,444.331675
126.538527,999,445.163862
90.340871,999,447.028348
93.889434,999,447.886086
91.061171,999,449.633909
106.341858,999,450.462805
86.6386,999,452.454838
69.846837,999,453.284012
118.263606,999,455.198895
121.193622,999,456.013997
115.515562,999,457.902213
58.220557,999,458.720319
135.130076,999,460.627233
134.712908,999,461.449205
94.570522,999,465.623383
130.761415,999,466.441141
69.532763,999,467.259842
142.350736,999,469.014841
131.226892,999,469.843996
93.22473,999,471.738842
85.167122,999,472.550641
96.162418,999,474.479284
119.99515,999,475.291276
126.631406,999,477.256256
115.703984,999,478.074493
90.924362,999,480.039623
112.865177,999,480.85528
116.015364,999,482.624866
85.128192,999,483.431803
124.307711,999,485.206796
110.635432,999,486.017957
108.122044,999,487.818013
18.719082,999,488.725544
120.077864,999,490.589984
113.967728,999,491.504369
82.325068,999,493.354908
117.705051,999,494.228025
117.267866,999,495.995947
101.905335,999,496.81409
110.646966,999,501.029136
132.44678,999,501.839211
64.42623,999,503.996619
100.441469,999,504.811226
64.645803,999,506.580299
137.560546,999,507.399448
85.06005,999,509.374195
132.647606,999,510.188239
125.783758,999,512.134565
112.084365,999,512.947319
122.516441,999,514.919947
97.095628,999,515.741049
124.454927,999,517.705732
91.693412,999,518.520663
62.455585,999,520.344829
108.723648,999,521.175163
119.563135,999,523.209545
105.167962,999,524.075366
109.137085,999,524.889503
137.885091,999,526.873806
130.386487,999,527.687535
15.565058,999,529.549522
92.664988,999,530.38591
142.703172,999,532.234488
122.789613,999,533.077052
136.572348,999,537.929929
61.623112,999,538.747792
130.1425,999,540.486327
72.393743,999,541.303979
138.774417,999,543.137468
124.462389,999,543.952904
127.779012,999,545.732986
61.532608,999,546.547429
19.450787,999,548.320232
44.667075,999,549.132228
127.438703,999,550.938459
81.04782,999,551.778138
96.691771,999,553.578412
122.012729,999,554.423038
134.818605,999,556.175322
135.93551,999,557.010518
103.991087,999,558.871244
43.216221,999,559.688685
125.136449,999,561.502951
80.694067,999,562.329355
135.439657,999,564.071393
131.663728,999,564.914906
43.451063,999,566.672943
90.147705,999,567.492729
105.206652,999,569.186246
106.323992,999,572.273628
99.739532,999,574.011273
134.503126,999,574.844163
117.242547,999,576.568492
66.662536,999,577.401956
133.368944,999,579.071508
140.459002,999,579.887335
118.922166,999,581.815255
145.622582,999,582.635377
136.277377,999,583.450257
129.106964,999,585.39537
